Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0	gNB PHY Txed	0	0	0	1	0	0	MIB
0.005	gNB PHY Txed	0	5	0	1	0	0	SIB1
0.01	gNB PHY Txed	1	0	0	1	0	0	MIB
0.015	gNB PHY Txed	1	5	0	1	0	0	SIB1
0.02	gNB PHY Txed	2	0	0	1	0	0	MIB
0.02	gNB PHY Txed	2	0	0	1	0	0	RAR
0.025	gNB PHY Txed	2	5	0	1	0	0	SIB1
0.025	gNB PHY Txed	2	5	0	1	0	0	UL_UCI
0.026	gNB PHY Txed	2	6	0	1	0	0	UL_UCI
0.03	gNB PHY Txed	3	0	0	1	0	0	MIB
0.035	gNB PHY Txed	3	5	0	1	0	0	SIB1
0.04	gNB PHY Txed	4	0	0	1	0	0	MIB
0.045	gNB PHY Txed	4	5	0	1	0	0	SIB1
0.05	gNB PHY Txed	5	0	0	1	0	0	MIB
0.055	gNB PHY Txed	5	5	0	1	0	0	UL_UCI
0.055	gNB PHY Txed	5	5	0	1	0	0	SIB1
0.06	gNB PHY Txed	6	0	0	1	0	0	MIB
0.065	gNB PHY Txed	6	5	0	1	0	0	SIB1
0.066	gNB PHY Txed	6	6	0	1	0	0	UL_UCI
0.067	gNB PHY Txed	6	7	0	1	0	0	UL_UCI
0.07	gNB PHY Txed	7	0	0	1	0	0	MIB
0.075	gNB PHY Txed	7	5	0	1	0	0	SIB1
0.08	gNB PHY Txed	8	0	0	1	0	0	MIB
0.085	gNB PHY Txed	8	5	0	1	0	0	SIB1
0.09	gNB PHY Txed	9	0	0	1	0	0	MIB
0.095	gNB PHY Txed	9	5	0	1	0	0	SIB1
0.096	gNB PHY Txed	9	6	0	1	0	0	UL_UCI
0.1	gNB PHY Txed	10	0	0	1	0	0	MIB
0.105	gNB PHY Txed	10	5	0	1	0	0	UL_UCI
0.105	gNB PHY Txed	10	5	0	1	0	0	SIB1
0.106	gNB PHY Txed	10	6	0	1	0	0	UL_UCI
0.11	gNB PHY Txed	11	0	0	1	0	0	MIB
0.115	gNB PHY Txed	11	5	0	1	0	0	SIB1
0.12	gNB PHY Txed	12	0	0	1	0	0	MIB
0.125	gNB PHY Txed	12	5	0	1	0	0	SIB1
0.13	gNB PHY Txed	13	0	0	1	0	0	MIB
0.135	gNB PHY Txed	13	5	0	1	0	0	SIB1
0.135	gNB PHY Txed	13	5	0	1	0	0	UL_UCI
0.14	gNB PHY Txed	14	0	0	1	0	0	MIB
0.145	gNB PHY Txed	14	5	0	1	0	0	SIB1
0.146	gNB PHY Txed	14	6	0	1	0	0	UL_UCI
0.147	gNB PHY Txed	14	7	0	1	0	0	UL_UCI
0.15	gNB PHY Txed	15	0	0	1	0	0	MIB
0.155	gNB PHY Txed	15	5	0	1	0	0	SIB1
0.16	gNB PHY Txed	16	0	0	1	0	0	MIB
0.165	gNB PHY Txed	16	5	0	1	0	0	SIB1
0.17	gNB PHY Txed	17	0	0	1	0	0	MIB
0.175	gNB PHY Txed	17	5	0	1	0	0	SIB1
0.176	gNB PHY Txed	17	6	0	1	0	0	UL_UCI
0.18	gNB PHY Txed	18	0	0	1	0	0	MIB
0.185	gNB PHY Txed	18	5	0	1	0	0	UL_UCI
0.185	gNB PHY Txed	18	5	0	1	0	0	SIB1
0.186	gNB PHY Txed	18	6	0	1	0	0	UL_UCI
0.19	gNB PHY Txed	19	0	0	1	0	0	MIB
0.195	gNB PHY Txed	19	5	0	1	0	0	SIB1
0.2	gNB PHY Txed	20	0	0	1	0	0	MIB
0.205	gNB PHY Txed	20	5	0	1	0	0	SIB1
0.21	gNB PHY Txed	21	0	0	1	0	0	MIB
0.215	gNB PHY Txed	21	5	0	1	0	0	UL_UCI
0.215	gNB PHY Txed	21	5	0	1	0	0	SIB1
0.22	gNB PHY Txed	22	0	0	1	0	0	MIB
0.225	gNB PHY Txed	22	5	0	1	0	0	SIB1
0.226	gNB PHY Txed	22	6	0	1	0	0	UL_UCI
0.227	gNB PHY Txed	22	7	0	1	0	0	UL_UCI
0.23	gNB PHY Txed	23	0	0	1	0	0	MIB
0.235	gNB PHY Txed	23	5	0	1	0	0	SIB1
0.24	gNB PHY Txed	24	0	0	1	0	0	MIB
0.245	gNB PHY Txed	24	5	0	1	0	0	SIB1
0.25	gNB PHY Txed	25	0	0	1	0	0	MIB
0.255	gNB PHY Txed	25	5	0	1	0	0	SIB1
0.256	gNB PHY Txed	25	6	0	1	0	0	UL_UCI
0.26	gNB PHY Txed	26	0	0	1	0	0	MIB
0.265	gNB PHY Txed	26	5	0	1	0	0	SIB1
0.265	gNB PHY Txed	26	5	0	1	0	0	UL_UCI
0.266	gNB PHY Txed	26	6	0	1	0	0	UL_UCI
0.27	gNB PHY Txed	27	0	0	1	0	0	MIB
0.275	gNB PHY Txed	27	5	0	1	0	0	SIB1
0.28	gNB PHY Txed	28	0	0	1	0	0	MIB
0.285	gNB PHY Txed	28	5	0	1	0	0	SIB1
0.29	gNB PHY Txed	29	0	0	1	0	0	MIB
0.295	gNB PHY Txed	29	5	0	1	0	0	UL_UCI
0.295	gNB PHY Txed	29	5	0	1	0	0	SIB1
0.3	gNB PHY Txed	30	0	0	1	0	0	MIB
0.305	gNB PHY Txed	30	5	0	1	0	0	SIB1
0.306	gNB PHY Txed	30	6	0	1	0	0	UL_UCI
0.307	gNB PHY Txed	30	7	0	1	0	0	UL_UCI
0.31	gNB PHY Txed	31	0	0	1	0	0	MIB
0.315	gNB PHY Txed	31	5	0	1	0	0	SIB1
0.32	gNB PHY Txed	32	0	0	1	0	0	MIB
0.325	gNB PHY Txed	32	5	0	1	0	0	SIB1
